ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
688159.SH,20260430,20251231,深圳市基思瑞投资发展有限公司,21641000.0,23.2927,23.3379,0.0,投资公司
688159.SH,20260430,20251231,王慷,5548398.0,5.9718,5.9835,0.0,自然人
688159.SH,20260430,20251231,杜广,1416405.0,1.5245,1.5275,-472135.0,自然人
688159.SH,20260430,20251231,景杰,1191505.0,1.2824,1.2849,,自然人
688159.SH,20260430,20251231,王栋,1118186.0,1.2035,1.2059,-32800.0,自然人
688159.SH,20260430,20251231,中国银行股份有限公司-华夏行业景气混合型证券投资基金,1059988.0,1.1408,1.1431,-1043364.0,开放式投资基金
688159.SH,20260430,20251231,魏琼,977221.0,1.0518,1.0538,-325516.0,自然人
688159.SH,20260430,20251231,杨云葛,879088.0,0.9461,0.948,,自然人
688159.SH,20260430,20251231,熊杰,671929.0,0.7232,0.7246,-223976.0,自然人
688159.SH,20260430,20251231,香港中央结算有限公司,510051.0,0.5489,0.55,,一般企业
688159.SH,20251030,20250930,招商银行股份有限公司-兴全合泰混合型证券投资基金,1113668.0,1.1986,1.201,,开放式投资基金
688159.SH,20251030,20250930,深圳市基思瑞投资发展有限公司,21641000.0,23.2927,23.3379,0.0,投资公司
688159.SH,20250828,20250630,深圳市基思瑞投资发展有限公司,21641000.0,23.2876,23.3379,0.0,投资公司
688159.SH,20250828,20250630,上海浦东发展银行股份有限公司-永赢数字经济智选混合型发起式证券投资基金,2436771.0,2.6221,2.6278,,开放式投资基金
688159.SH,20250828,20250630,上海利幄私募基金管理有限公司-利幄复兴私募证券投资基金,1811508.0,1.9493,1.9536,,其他金融产品
688159.SH,20250828,20250630,中国建设银行股份有限公司-广发科技创新混合型证券投资基金,3081426.0,3.3158,3.3231,,开放式投资基金
688159.SH,20250828,20250630,王慷,5548398.0,5.9705,5.9835,0.0,自然人
688159.SH,20250828,20250630,张一崎,2281700.0,2.4553,2.4606,,自然人
688159.SH,20250828,20250630,杜广,1888540.0,2.0322,2.0366,0.0,自然人
688159.SH,20250828,20250630,陈巧贤,1250000.0,1.3451,1.348,,自然人
688159.SH,20250828,20250630,蔡昕,1065595.0,1.1466,1.1492,,自然人
688159.SH,20250430,20250331,张增国,1275194.0,1.3861,1.3909,0.0,自然人
688159.SH,20250430,20250331,吴忠海,798791.0,0.8683,0.8713,,自然人
688159.SH,20250430,20250331,贺降强,569137.0,0.6186,0.6208,0.0,自然人
688159.SH,20250430,20250331,深圳市基思瑞投资发展有限公司,21641000.0,23.5242,23.6051,0.0,投资公司
688159.SH,20241030,20240930,深圳市基思瑞投资发展有限公司,21641000.0,23.5242,23.6051,0.0,投资公司
688159.SH,20241030,20240930,山东省国际信托股份有限公司-鼎萨2期证券投资集合资金信托计划,1348977.0,1.4663,1.4714,-933477.0,信托公司集合信托计划
688159.SH,20241030,20240930,姜明,1196642.0,1.3007,1.3052,222872.0,自然人
688159.SH,20241030,20240930,蔺桂然,867749.0,0.9432,0.9465,,自然人
688159.SH,20241030,20240930,张玉岩,801855.0,0.8716,0.8746,,自然人
688159.SH,20240830,20240630,王慷,5548398.0,6.0223,6.052,0.0,自然人
688159.SH,20240830,20240630,魏琼,1302737.0,1.414,1.421,0.0,自然人
688159.SH,20240830,20240630,姜明,973770.0,1.0569,1.0621,,自然人
688159.SH,20240830,20240630,于正瑞,1185894.0,1.2872,1.2935,-574217.0,自然人
688159.SH,20240830,20240630,熊杰,895905.0,0.9724,0.9772,,自然人
688159.SH,20240830,20240630,深圳明跃私募证券投资基金有限公司-明跃乐润1号私募证券投资基金,927471.0,1.0067,1.0116,,其他金融产品
688159.SH,20230428,20230331,广东美的智能科技产业投资基金管理中心(有限合伙),2000000.0,2.1815,2.18,0.0,投资、咨询公司
688159.SH,20230428,20230331,杜广,1888540.0,2.0599,2.06,0.0,自然人
688159.SH,20230428,20230331,魏琼,1302737.0,1.4209,1.42,0.0,自然人
688159.SH,20230428,20230331,张增国,1275194.0,1.3909,1.39,0.0,自然人
688159.SH,20230428,20230331,江苏安鹏投资管理有限公司-江苏疌泉安鹏先进制造产业投资基金(有限合伙),1125379.0,1.2275,1.23,0.0,投资、咨询公司
688159.SH,20230428,20230331,深圳市创新投资集团有限公司,1048112.0,1.1432,1.14,-377900.0,投资、咨询公司
688159.SH,20230428,20230331,景德镇安鹏汽车产业创业投资合伙企业(有限合伙),921498.0,1.0051,1.01,0.0,投资、咨询公司
688159.SH,20230428,20230331,深圳市基思瑞投资发展有限公司,21641000.0,23.605,23.61,,投资、咨询公司
688159.SH,20230428,20230331,王慷,5548398.0,6.0519,6.05,,自然人
688159.SH,20230428,20230331,深圳市万物成长创业投资有限责任公司-深圳市万物成长股权投资合伙企业(有限合伙),3164557.0,3.4517,3.45,0.0,投资、咨询公司
688159.SH,20230428,20221231,中国工商银行股份有限公司-融通健康产业灵活配置混合型证券投资基金,1050000.0,1.1452,1.6129,,开放式投资基金
688159.SH,20230428,20221231,北京昆石天利投资有限公司-宁波昆石天利创业投资合伙企业(有限合伙),934879.0,1.0197,1.436,,风险投资公司
688159.SH,20221031,20220930,魏琼,1302737.0,1.4209,2.0,0.0,自然人
688159.SH,20221031,20220930,张增国,1275194.0,1.3909,1.96,0.0,自然人
688159.SH,20221031,20220930,江苏安鹏投资管理有限公司-江苏疌泉安鹏先进制造产业投资基金(有限合伙),1125379.0,1.2275,1.73,0.0,投资、咨询公司
688159.SH,20221031,20220930,贺降强,1004137.0,1.0952,1.54,,自然人
688159.SH,20221031,20220930,深圳市万物成长创业投资有限责任公司-深圳市万物成长股权投资合伙企业(有限合伙),3164557.0,3.4517,4.86,0.0,投资、咨询公司
688159.SH,20221031,20220930,广东美的智能科技产业投资基金管理中心(有限合伙),2000000.0,2.1815,3.07,0.0,投资、咨询公司
688159.SH,20221031,20220930,杜广,1888540.0,2.0599,2.9,,自然人
688159.SH,20221031,20220930,谭延凌,1773655.0,1.9346,2.72,0.0,自然人
688159.SH,20221031,20220930,深圳市创新投资集团有限公司,1426012.0,1.5554,2.19,-78471.0,投资、咨询公司
688159.SH,20221031,20220930,项光隆,1352632.0,1.4753,2.08,,自然人
688159.SH,20220830,20220630,北京昆石天利投资有限公司-宁波昆石天利创业投资合伙企业(有限合伙),1157990.0,1.263,1.7787,-441710.0,风险投资公司
688159.SH,20220830,20220630,江苏安鹏投资管理有限公司-江苏疌泉安鹏先进制造产业投资基金(有限合伙),1125379.0,1.2275,1.7286,,风险投资公司
688159.SH,20220429,20220331,厦门市方星汇投资合伙企业(有限合伙),5741325.0,6.2623,8.82,,投资、咨询公司
688159.SH,20220429,20220331,深圳市万物成长创业投资有限责任公司-深圳市万物成长股权投资合伙企业(有限合伙),3164557.0,3.4517,4.86,0.0,投资、咨询公司
688159.SH,20220429,20220331,广东美的智能科技产业投资基金管理中心(有限合伙),2000000.0,2.1815,3.07,,投资、咨询公司
688159.SH,20220429,20220331,谭延凌,1773655.0,1.9346,2.72,,自然人
688159.SH,20220429,20220331,北京昆石天利投资有限公司-宁波昆石天利股权投资合伙企业(有限合伙),1599700.0,1.7448,2.46,-300.0,投资、咨询公司
688159.SH,20220429,20220331,深圳市创新投资集团有限公司,1574058.0,1.7169,2.42,-2000.0,投资、咨询公司
688159.SH,20220429,20220331,中国工商银行股份有限公司-宝盈优势产业灵活配置混合型证券投资基金,1429398.0,1.5591,2.2,,开放式投资基金
688159.SH,20220429,20220331,魏琼,1302737.0,1.4209,2.0,,自然人
688159.SH,20220429,20220331,中国银行股份有限公司-宝盈国家安全战略沪港深股票型证券投资基金,1275730.0,1.3915,1.96,,开放式投资基金
688159.SH,20220429,20220331,张增国,1275194.0,1.3909,1.96,,自然人
688159.SH,20220429,20211231,景德镇安鹏汽车产业创业投资合伙企业(有限合伙),921498.0,1.0051,1.4698,-160000.0,风险投资公司
688159.SH,20220429,20211231,深圳南山东方富海中小微创业投资基金合伙企业(有限合伙),690991.0,0.7537,1.1021,,风险投资公司
688159.SH,20220429,20211231,深圳市昆石投资有限公司-深圳市昆石创富投资企业(有限合伙),1031238.0,1.1248,1.6448,-331473.0,投资公司
688159.SH,20220429,20211231,华创证券-兴业银行-华创证券钱景1号科创板战略配售集合资产管理计划,939260.0,1.0245,1.4981,-111019.0,券商集合资产管理计划
688159.SH,20211030,20210930,深圳市昆石投资有限公司-深圳市昆石创富投资企业(有限合伙),1362711.0,1.4863,2.1766,0.0,投资公司
688159.SH,20211030,20210930,景德镇安鹏汽车产业创业投资合伙企业(有限合伙),1081498.0,1.1796,1.7275,-768502.0,风险投资公司
688159.SH,20211030,20210930,华创证券-兴业银行-华创证券钱景1号科创板战略配售集合资产管理计划,1050279.0,1.1455,1.6776,-1095521.0,券商集合资产管理计划
688159.SH,20211030,20210930,北京方圆金鼎投资管理有限公司-宁波弘基金鼎投资管理中心(有限合伙),781451.0,0.8523,1.2482,,投资公司
688159.SH,20210830,20210630,深圳市罗湖红土创业投资管理有限公司-深圳市罗湖红土创业投资有限公司,864370.0,0.9428,1.3806,,风险投资公司
688159.SH,20210830,20210630,景德镇安鹏汽车产业创业投资合伙企业(有限合伙),1850000.0,2.0178,2.955,0.0,风险投资公司
688159.SH,20210830,20210630,深圳市昆石投资有限公司-深圳市昆石创富投资企业(有限合伙),1362711.0,1.4863,2.1766,0.0,投资公司
688159.SH,20210429,20210331,深圳市方之星投资有限公司,9523450.0,10.3877,15.37,,投资、咨询公司
688159.SH,20210429,20210331,深圳市方之星投资合伙企业(有限合伙),7505200.0,8.1863,12.11,,投资、咨询公司
688159.SH,20210429,20210331,深圳市万物成长创业投资有限责任公司-深圳市万物成长股权投资合伙企业(有限合伙),3164557.0,3.4517,5.11,,投资、咨询公司
688159.SH,20210429,20210331,深圳市创新投资集团有限公司,2766455.0,3.0175,4.47,,投资、咨询公司
688159.SH,20210429,20210331,北京昆石天利投资有限公司-宁波昆石天利股权投资合伙企业(有限合伙),2265623.0,2.4712,3.66,,投资、咨询公司
688159.SH,20210429,20210331,华创证券-兴业银行-华创证券钱景1号科创板战略配售集合资产管理计划,2228000.0,2.4302,3.6,,券商集合资产管理计划
688159.SH,20210429,20210331,江苏安鹏投资管理有限公司-江苏疌泉安鹏先进制造产业投资基金(有限合伙),1898734.0,2.071,3.06,,投资、咨询公司
688159.SH,20210429,20210331,景德镇安鹏汽车产业创业投资合伙企业(有限合伙),1850000.0,2.0178,2.99,,投资、咨询公司
688159.SH,20210429,20210331,上海山楂树投资管理中心(有限合伙)-嘉兴挚旸投资管理合伙企业(有限合伙),1455696.0,1.5878,2.35,,投资、咨询公司
688159.SH,20210429,20210331,深圳市昆石投资有限公司-深圳市昆石创富投资企业(有限合伙),1362711.0,1.4863,2.2,,投资、咨询公司
688159.SH,20210427,20201231,刘明,118054.0,0.1287,0.5736,,自然人
688159.SH,20210427,20201231,中信证券股份有限公司,403464.0,0.44,1.9604,,金融机构—证券公司
688159.SH,20210427,20201231,余胜利,198466.0,0.2164,0.9643,87368.0,自然人
688159.SH,20210427,20201231,王津生,162000.0,0.1767,0.7872,,自然人
688159.SH,20210427,20201231,孙小明,149276.0,0.1628,0.7253,-18000.0,自然人
688159.SH,20210427,20201231,广东莲花私募证券投资基金管理有限公司-智硕莲花1号私募证券投资基金,138800.0,0.1513,0.6744,11000.0,其他金融产品
688159.SH,20210427,20201231,陈孙军,137468.0,0.1499,0.668,,自然人
688159.SH,20210427,20201231,郭云春,131294.0,0.1432,0.638,19859.0,自然人
688159.SH,20210427,20201231,阮兴祥,128691.0,0.1403,0.6253,,自然人
688159.SH,20210427,20201231,乔宝玉,125946.0,0.1373,0.612,24000.0,自然人
688159.SH,20201029,20200930,王莉芳,99049.0,0.108,0.51,,自然人
688159.SH,20201029,20200930,九坤投资(北京)有限公司-九坤私享33号私募证券投资基金,94054.0,0.1025,0.48,4155.0,其他金融产品
688159.SH,20201029,20200930,刘宁,198639.0,0.2166,1.02,97357.0,自然人
688159.SH,20201029,20200930,孙小明,167276.0,0.1824,0.86,53492.0,自然人
688159.SH,20201029,20200930,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,155075.0,0.1691,0.8,,其他金融产品
688159.SH,20201029,20200930,广东莲花私募证券投资基金管理有限公司-智硕莲花1号私募证券投资基金,127800.0,0.1393,0.66,,其他金融产品
688159.SH,20201029,20200930,郭云春,111435.0,0.1215,0.57,125.0,自然人
688159.SH,20201029,20200930,华泰证券股份有限公司,111432.0,0.1215,0.57,,金融机构—证券公司
688159.SH,20201029,20200930,余胜利,111098.0,0.1211,0.57,,自然人
688159.SH,20201029,20200930,乔宝玉,101946.0,0.1111,0.52,,自然人
688159.SH,20200820,20200630,刘宁,101282.0,0.1104,0.52,,自然人
688159.SH,20200820,20200630,孙莹,89928.0,0.098,0.46,,自然人
688159.SH,20200820,20200630,九坤投资(北京)有限公司-九坤私享33号私募证券投资基金,89899.0,0.098,0.46,,其他金融产品
688159.SH,20200820,20200630,上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金,85075.0,0.0927,0.44,,其他金融产品
688159.SH,20200820,20200630,国泰君安证券股份有限公司,325779.0,0.3553,1.68,,金融机构—证券公司
688159.SH,20200820,20200630,中国建设银行股份有限公司-华夏优势增长混合型证券投资基金,296030.0,0.3228,1.52,-77687.0,开放式投资基金
688159.SH,20200820,20200630,前海人寿保险股份有限公司-分红保险产品华泰组合,169757.0,0.1851,0.87,,保险投资组合
688159.SH,20200820,20200630,孙小明,113784.0,0.1241,0.59,,自然人
688159.SH,20200820,20200630,郭云春,111310.0,0.1214,0.57,10086.0,自然人
688159.SH,20200820,20200630,"JPMORGANCHASEBANK,NATIONALASSOCIATION",104178.0,0.1136,0.54,,金融机构—银行
688159.SH,20200429,20200331,中国建设银行股份有限公司-华夏优势增长混合型证券投资基金,373717.0,0.4076,2.0,,开放式投资基金
688159.SH,20200429,20200331,李伦,152681.0,0.1665,0.82,,自然人
688159.SH,20200429,20200331,万俊,129001.0,0.1407,0.69,,自然人
688159.SH,20200429,20200331,郭云春,101224.0,0.1104,0.54,,自然人
688159.SH,20200429,20200331,王艺驰,98422.0,0.1073,0.53,,自然人
688159.SH,20200429,20200331,文良生,80618.0,0.0879,0.43,,自然人
688159.SH,20200429,20200331,刘名毅,80000.0,0.0872,0.43,,自然人
688159.SH,20200429,20200331,张俊,71626.0,0.0781,0.38,,自然人
688159.SH,20200429,20200331,何波,71216.0,0.0776,0.38,,自然人
688159.SH,20200429,20200331,浮石(北京)投资有限公司-浮石信安2号私募投资基金,70246.0,0.0766,0.38,,其他金融产品
